case_id,amp,pw,Ea_mean,Ea_sigma,tfe,epife_read,Iref,VFB_read,VG_name,dV1,dV10,dV100,A1,A10,A100,gradual,inc_1_10,inc_10_100,ratio1,ratio10,late_early_ratio,progress_score,is_invalid,is_weak_all,is_early_saturate,is_progressive,valid0,valid1,valid10,valid100,P0,P1,P10,P100,Vth0,Vth1,Vth10,Vth100,IDmin1,IDmin10,IDmin100,IDmax1,IDmax10,IDmax100,elapsed_s
A1p60_PW0p50us_Em1p00_Es0p25_tfe1p50em6_epi24p00_Iref1p00em7_VFBmp50_VGm0p8_to_2p2,1.6,5e-07,1,0.25,1.5e-06,24,1e-07,-0.5,VGm0p8_to_2p2,-0.0177342518211899,-0.0355071679074076,-0.0955337714121305,0.0177342518211899,0.0355071679074076,0.0955337714121305,0.0777995195909406,0.0177729160862177,0.0600266035047229,0.18563332692776,0.371671372149965,3.37742007071488,-0.217351681434178,0,0,0,1,1,1,1,1,0.22500000000001,0.250000000000011,0.275000000000012,0.360000000000016,0.67382786920504,0.65609361738385,0.638320701297632,0.578294097792909,1.64452598133011e-23,1.65404082468153e-23,8.92611435948661e-24,3.49117586832042e-06,3.53341574394424e-06,3.67720343296111e-06,11.1878919
A1p80_PW0p02us_Em1p05_Es0p10_tfe1p50em6_epi28p00_Iref1p00em7_VFBmp50_VGm0p8_to_2p2,1.8,2e-08,1.05,0.1,1.5e-06,28,1e-07,-0.5,VGm0p8_to_2p2,-0.00626305367266577,-0.0455733932334671,-0.0998775307029225,0.00626305367266577,0.0455733932334671,0.0998775307029225,0.0936144770302567,0.0393103395608013,0.0543041374694554,0.0627073339577719,0.456292750859264,1.38142122597194,-0.225105330970895,0,0,0,1,1,1,1,1,0.575000000000025,0.585000000000026,0.650000000000029,0.740000000000033,0.448674020704313,0.442410967031648,0.403100627470846,0.348796490001391,1.64180356855999e-23,3.11985750469521e-23,3.07839909094307e-22,4.44487385435876e-06,4.55042762691742e-06,4.69673806309412e-06,4.0084164
A1p60_PW0p10us_Em0p95_Es0p20_tfe1p50em6_epi24p00_Iref1p00em7_VFBmp50_VGm0p8_to_2p2,1.6,1e-07,0.95,0.2,1.5e-06,24,1e-07,-0.5,VGm0p8_to_2p2,-0.00711527390201638,-0.0316750860113731,-0.0812714975232055,0.00711527390201638,0.0316750860113731,0.0812714975232055,0.0741562236211891,0.0245598121093568,0.0495964115118324,0.0875494376116886,0.389744092045664,2.01941331191769,-0.226571510412675,0,0,0,1,1,1,1,1,0.295000000000014,0.305000000000014,0.340000000000015,0.410000000000018,0.624313829473214,0.617198555571198,0.592638743461841,0.543042331950009,1.64912075878443e-23,1.6315857102925e-23,1.20546867789606e-23,3.58413442466348e-06,3.64334768909634e-06,3.7619033992762e-06,6.0317013
A1p80_PW0p20us_Em1p05_Es0p10_tfe1p00em6_epi20p00_Iref1p00em7_VFBmp50_VGm0p8_to_2p2,1.8,2e-07,1.05,0.1,1e-06,20,1e-07,-0.5,VGm0p8_to_2p2,-0.0286012432534032,-0.0906275693537501,-0.163941590590184,0.0286012432534032,0.0906275693537501,0.163941590590184,0.135340347336781,0.0620263261003469,0.0733140212364343,0.174459959491912,0.552804014085101,1.18198232663057,-0.234302287629934,0,0,0,1,1,1,1,1,0.555000000000025,0.605000000000027,0.715000000000031,0.845000000000037,0.46876873402785,0.440167490774447,0.3781411646741,0.304827143437666,3.14175074138723e-23,9.30272643120645e-23,6.15487692101338e-22,4.65622399605774e-06,4.83097021846252e-06,5.03780137781146e-06,6.580088
A1p60_PW0p10us_Em1p00_Es0p25_tfe1p00em6_epi24p00_Iref1p00em7_VFBmp50_VGm0p8_to_2p2,1.6,1e-07,1,0.25,1e-06,24,1e-07,-0.5,VGm0p8_to_2p2,-0.0049843982763097,-0.0163856261551812,-0.0517214696207323,0.0049843982763097,0.0163856261551812,0.0517214696207323,0.0467370713444226,0.0114012278788715,0.0353358434655511,0.0963700048134697,0.316805115464336,3.09930157005585,-0.234944477633566,0,0,0,1,1,1,1,1,0.22000000000001,0.23000000000001,0.255000000000011,0.330000000000014,0.64503191268377,0.640047514407461,0.628646286528589,0.593310443063038,1.20410141896931e-23,3.21268187364251e-23,1.62091429958954e-23,4.58996525040835e-06,4.62699191171491e-06,4.73814734832726e-06,6.2128808
A2p20_PW0p02us_Em0p95_Es0p10_tfe8p00em7_epi20p00_Iref1p00em7_VFBmp50_VGm0p8_to_2p2,2.2,2e-08,0.95,0.1,8e-07,20,1e-07,-0.5,VGm0p8_to_2p2,-0.00218700034531172,-0.0203256064610275,-0.05668524593083,0.00218700034531172,0.0203256064610275,0.05668524593083,0.0544982455855183,0.0181386061157158,0.0363596394698025,0.0385814740572952,0.358569608850771,2.00454429837911,-0.239434329763864,0,0,0,1,1,1,1,1,0.545000000000024,0.550000000000024,0.590000000000027,0.67000000000003,0.495550731134731,0.493363730789419,0.475225124673704,0.438865485203901,1.64508122688334e-23,1.81879399089618e-23,9.38802530086765e-24,5.178937724636e-06,5.23750536270513e-06,5.35471669604411e-06,9.3830442
A1p80_PW0p02us_Em1p05_Es0p15_tfe1p00em6_epi28p00_Iref1p00em7_VFBmp50_VGm0p8_to_2p2,1.8,2e-08,1.05,0.15,1e-06,28,1e-07,-0.5,VGm0p8_to_2p2,-0.00602446621250807,-0.0563462519151573,-0.1107853881397,0.00602446621250807,0.0563462519151573,0.1107853881397,0.104760921927192,0.0503217857026492,0.0544391362245424,0.0543796101062647,0.508607252827467,1.08182043749843,-0.248982334161537,0,0,0,1,1,1,1,1,0.45000000000002,0.465000000000021,0.590000000000027,0.725000000000032,0.542893172093419,0.536868705880911,0.486546920178262,0.432107783953719,1.79468225494614e-23,1.69657537425813e-23,2.13720958758724e-23,5.38167331133224e-06,5.55650079795752e-06,5.74555252092938e-06,4.5643462
A1p80_PW0p20us_Em1p10_Es0p15_tfe1p00em6_epi28p00_Iref1p00em7_VFBmp50_VGm0p8_to_2p2,1.8,2e-07,1.1,0.15,1e-06,28,1e-07,-0.5,VGm0p8_to_2p2,-0.0124272228015371,-0.0687113820622559,-0.129270055691629,0.0124272228015371,0.0687113820622559,0.129270055691629,0.116842832890092,0.0562841592607188,0.0605586736293732,0.0961338086770996,0.531533630852341,1.07594524684741,-0.252087287496654,0,0,0,1,1,1,1,1,0.475000000000022,0.505000000000023,0.645000000000029,0.795000000000036,0.532979933903257,0.52055271110172,0.464268551841001,0.403709878211628,1.84894657525416e-23,3.19761740155177e-23,1.67859588702713e-23,5.43759425914121e-06,5.63349284808973e-06,5.84367188910141e-06,6.5784353
A1p80_PW0p10us_Em1p05_Es0p10_tfe8p00em7_epi28p00_Iref1p00em7_VFBmp50_VGm0p8_to_2p2,1.8,1e-07,1.05,0.1,8e-07,28,1e-07,-0.5,VGm0p8_to_2p2,-0.0034415851885139,-0.0337296316027362,-0.0790518868687121,0.0034415851885139,0.0337296316027362,0.0790518868687121,0.0756103016801982,0.0302880464142223,0.0453222552659758,0.0435357753601709,0.426677122315294,1.49637433349593,-0.253725550050215,0,0,0,1,1,1,1,1,0.595000000000026,0.605000000000027,0.700000000000031,0.840000000000037,0.503613427968233,0.500171842779719,0.469883796365497,0.424561541099521,3.12854525467236e-23,6.39440836737444e-24,2.16888839801452e-23,6.21782732933248e-06,6.33833442752574e-06,6.51607781514374e-06,5.6392509
A1p60_PW0p05us_Em0p95_Es0p20_tfe1p00em6_epi28p00_Iref1p00em7_VFBmp50_VGm0p8_to_2p2,1.6,5e-08,0.95,0.2,1e-06,28,1e-07,-0.5,VGm0p8_to_2p2,-0.00214096563617272,-0.0119375301505659,-0.0382605783151715,0.00214096563617272,0.0119375301505659,0.0382605783151715,0.0361196126789988,0.00979656451439315,0.0263230481646056,0.0559574823604734,0.312006003992686,2.68696726550738,-0.258477475716941,0,0,0,1,1,1,1,1,0.300000000000013,0.305000000000013,0.330000000000014,0.395000000000017,0.603455178874447,0.601314213238275,0.591517648723881,0.565194600559276,9.30260512135207e-24,1.62051660389191e-23,9.65461407720878e-24,5.15822431613783e-06,5.19311275745787e-06,5.28386733778745e-06,4.9462899
