case_id,amp,pw,Ea_mean,Ea_sigma,tfe,epife_read,Iref,VFB_read,VG_name,P0,Vth0,idmin0,idmax0,valid0,dV1,dV10,dV100,dP1,dP10,dP100,gradual,ratio1,ratio10,valid_ratio,progress_score,is_invalid,is_weak_all,is_early_saturate,is_progressive
A1p40_PW2p00em02us_Em1p05_Es0p15_tfe1p00em06_epi24p0_Iref1p0em07_VFBm0p50_VGm0p8_to_2p2,1.4,2e-08,1.05,0.15,1e-06,24,1e-07,-0.5,VGm0p8_to_2p2,0.480000000000021,0.522501842554304,1.66018563633719e-23,4.96078226565869e-06,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
A1p40_PW2p00em02us_Em1p05_Es0p15_tfe1p00em06_epi28p0_Iref1p0em07_VFBm0p50_VGm0p8_to_2p2,1.4,2e-08,1.05,0.15,1e-06,28,1e-07,-0.5,VGm0p8_to_2p2,0.480000000000021,0.530988983367178,3.23731215395237e-23,5.40264099108367e-06,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
A1p40_PW2p00em02us_Em1p05_Es0p20_tfe8p00em07_epi24p0_Iref1p0em07_VFBm0p50_VGm0p8_to_2p2,1.4,2e-08,1.05,0.2,8e-07,24,1e-07,-0.5,VGm0p8_to_2p2,0.365000000000017,0.577404561918847,2.95244864398073e-23,5.44801544297163e-06,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
A1p40_PW2p00em02us_Em1p05_Es0p20_tfe8p00em07_epi28p0_Iref1p0em07_VFBm0p50_VGm0p8_to_2p2,1.4,2e-08,1.05,0.2,8e-07,28,1e-07,-0.5,VGm0p8_to_2p2,0.365000000000017,0.57780192448828,1.94256670568129e-23,5.91378765313172e-06,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
A1p40_PW2p00em02us_Em1p05_Es0p20_tfe1p00em06_epi24p0_Iref1p0em07_VFBm0p50_VGm0p8_to_2p2,1.4,2e-08,1.05,0.2,1e-06,24,1e-07,-0.5,VGm0p8_to_2p2,0.365000000000017,0.576703947561037,1.63386402810737e-23,4.79005764129392e-06,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
A1p40_PW2p00em02us_Em1p05_Es0p20_tfe1p00em06_epi28p0_Iref1p0em07_VFBm0p50_VGm0p8_to_2p2,1.4,2e-08,1.05,0.2,1e-06,28,1e-07,-0.5,VGm0p8_to_2p2,0.365000000000017,0.57720506598812,3.16576739106317e-23,5.24197267485506e-06,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
A1p40_PW2p00em02us_Em1p05_Es0p25_tfe8p00em07_epi24p0_Iref1p0em07_VFBm0p50_VGm0p8_to_2p2,1.4,2e-08,1.05,0.25,8e-07,24,1e-07,-0.5,VGm0p8_to_2p2,0.235000000000011,0.62652173061481,1.63508819713656e-23,5.27181323543546e-06,1,0.00192443239538687,0.00192443239538687,0,-0.00500000000000028,-0.00500000000000028,0,0.00192443239538687,1924432395386.87,1924432395386.87,1,-153954591630.951,0,1,1,0
A1p40_PW2p00em02us_Em1p05_Es0p25_tfe8p00em07_epi28p0_Iref1p0em07_VFBm0p50_VGm0p8_to_2p2,1.4,2e-08,1.05,0.25,8e-07,28,1e-07,-0.5,VGm0p8_to_2p2,0.235000000000011,0.619639645412544,1.6979684579748e-23,5.74935303959791e-06,1,0.00167755580147544,0.00167755580147544,0,-0.00500000000000028,-0.00500000000000028,0,0.00167755580147544,1677555801475.44,1677555801475.44,1,-134204464118.036,0,1,1,0
A1p40_PW2p00em02us_Em1p05_Es0p25_tfe1p00em06_epi24p0_Iref1p0em07_VFBm0p50_VGm0p8_to_2p2,1.4,2e-08,1.05,0.25,1e-06,24,1e-07,-0.5,VGm0p8_to_2p2,0.235000000000011,0.637844232560892,1.12745243877902e-23,4.59736955830374e-06,1,0.00220328184656926,0.00220328184656926,0,-0.00500000000000028,-0.00500000000000028,0,0.00220328184656926,2203281846569.26,2203281846569.26,1,-176262547725.543,0,1,1,0
A1p40_PW2p00em02us_Em1p05_Es0p25_tfe1p00em06_epi28p0_Iref1p0em07_VFBm0p50_VGm0p8_to_2p2,1.4,2e-08,1.05,0.25,1e-06,28,1e-07,-0.5,VGm0p8_to_2p2,0.235000000000011,0.629860269245532,1.72153307955068e-23,5.06058875608041e-06,1,0.0020086027040771,0.0020086027040771,0,-0.00500000000000028,-0.00500000000000028,0,0.0020086027040771,2008602704077.1,2008602704077.1,1,-160688216326.17,0,1,1,0
A1p40_PW2p00em02us_Em1p10_Es0p15_tfe8p00em07_epi24p0_Iref1p0em07_VFBm0p50_VGm0p8_to_2p2,1.4,2e-08,1.1,0.15,8e-07,24,1e-07,-0.5,VGm0p8_to_2p2,0.510000000000023,0.522786661791039,1.62108098080116e-23,5.64481893856593e-06,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
A1p40_PW2p00em02us_Em1p10_Es0p15_tfe8p00em07_epi28p0_Iref1p0em07_VFBm0p50_VGm0p8_to_2p2,1.4,2e-08,1.1,0.15,8e-07,28,1e-07,-0.5,VGm0p8_to_2p2,0.510000000000023,0.531220544339836,1.03040294671329e-23,6.09740822753458e-06,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
A1p40_PW2p00em02us_Em1p10_Es0p15_tfe1p00em06_epi24p0_Iref1p0em07_VFBm0p50_VGm0p8_to_2p2,1.4,2e-08,1.1,0.15,1e-06,24,1e-07,-0.5,VGm0p8_to_2p2,0.510000000000023,0.50858906305725,1.69444678605017e-23,5.00535870627193e-06,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
A1p40_PW2p00em02us_Em1p10_Es0p15_tfe1p00em06_epi28p0_Iref1p0em07_VFBm0p50_VGm0p8_to_2p2,1.4,2e-08,1.1,0.15,1e-06,28,1e-07,-0.5,VGm0p8_to_2p2,0.510000000000023,0.518601564810129,1.3108640528451e-23,5.4445859754948e-06,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
A1p40_PW2p00em02us_Em1p10_Es0p20_tfe8p00em07_epi24p0_Iref1p0em07_VFBm0p50_VGm0p8_to_2p2,1.4,2e-08,1.1,0.2,8e-07,24,1e-07,-0.5,VGm0p8_to_2p2,0.390000000000018,0.568178444276296,8.9897301546387e-24,5.48192722043851e-06,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
A1p40_PW2p00em02us_Em1p10_Es0p20_tfe8p00em07_epi28p0_Iref1p0em07_VFBm0p50_VGm0p8_to_2p2,1.4,2e-08,1.1,0.2,8e-07,28,1e-07,-0.5,VGm0p8_to_2p2,0.390000000000018,0.569964725828065,2.24649920239921e-23,5.94543068982157e-06,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
A1p40_PW2p00em02us_Em1p10_Es0p20_tfe1p00em06_epi24p0_Iref1p0em07_VFBm0p50_VGm0p8_to_2p2,1.4,2e-08,1.1,0.2,1e-06,24,1e-07,-0.5,VGm0p8_to_2p2,0.390000000000018,0.564992732404532,9.34530620066194e-24,4.82715076383524e-06,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
A1p40_PW2p00em02us_Em1p10_Es0p20_tfe1p00em06_epi28p0_Iref1p0em07_VFBm0p50_VGm0p8_to_2p2,1.4,2e-08,1.1,0.2,1e-06,28,1e-07,-0.5,VGm0p8_to_2p2,0.390000000000018,0.567275801208496,9.89502918279438e-24,5.27688395858285e-06,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
A1p40_PW2p00em02us_Em1p10_Es0p25_tfe8p00em07_epi24p0_Iref1p0em07_VFBm0p50_VGm0p8_to_2p2,1.4,2e-08,1.1,0.25,8e-07,24,1e-07,-0.5,VGm0p8_to_2p2,0.245000000000011,0.622587195852233,3.240806314391e-23,5.28535878628129e-06,1,0,0,-0.00201066375992831,0,0,0.00500000000000031,0.00201066375992831,0,0,1,0.00160853100794265,0,1,0,0
A1p40_PW2p00em02us_Em1p10_Es0p25_tfe8p00em07_epi28p0_Iref1p0em07_VFBm0p50_VGm0p8_to_2p2,1.4,2e-08,1.1,0.25,8e-07,28,1e-07,-0.5,VGm0p8_to_2p2,0.245000000000011,0.616611996261472,1.67571535600073e-23,5.76199522896722e-06,1,0,0,-0.00154293682600926,0,0,0.00500000000000031,0.00154293682600926,0,0,1,0.0012343494608074,0,1,0,0
A1p40_PW2p00em02us_Em1p10_Es0p25_tfe1p00em06_epi24p0_Iref1p0em07_VFBm0p50_VGm0p8_to_2p2,1.4,2e-08,1.1,0.25,1e-06,24,1e-07,-0.5,VGm0p8_to_2p2,0.245000000000011,0.633328837232243,1.73013197150985e-23,4.61217971358865e-06,1,0,0,-0.00232010009905015,0,0,0.00500000000000031,0.00232010009905015,0,0,1,0.00185608007924012,0,1,0,0
A1p40_PW2p00em02us_Em1p10_Es0p25_tfe1p00em06_epi28p0_Iref1p0em07_VFBm0p50_VGm0p8_to_2p2,1.4,2e-08,1.1,0.25,1e-06,28,1e-07,-0.5,VGm0p8_to_2p2,0.245000000000011,0.625747194940031,1.94285024471619e-23,5.07453192876744e-06,1,0,0,-0.00210519026153788,0,0,0.00500000000000031,0.00210519026153788,0,0,1,0.00168415220923031,0,1,0,0
