cand_name,amp,pw,Ea_mean,Ea_sigma,span_dV1,span_dV100,span_gradual,span_dP100,best_abs_dV100,best_abs_dV100_delay,best_gradual,best_gradual_delay
cand1_A2p20_PW0p20us_Em1p00_Es0p20,2.2,2e-07,1,0.2,0.0227826657398561,0.0163491211049681,0.0207142657918149,0.0500000000000025,0.15343105299806,1e-06,0.127222053765626,3e-07
cand2_A2p20_PW0p50us_Em1p00_Es0p20,2.2,5e-07,1,0.2,0.0197992409655293,0.0210927239172987,0.0227633804928742,0.0650000000000032,0.164777869763605,3e-07,0.105001156659441,0.0001
cand3_A2p20_PW0p20us_Em0p95_Es0p20,2.2,2e-07,0.95,0.2,0.0143575131789453,0.0147905852613308,0.0210514748491716,0.0450000000000018,0.213273014987004,0.0001,0.122703625982053,0.0001
